"RBD","COM_NOMBRE","ESTABLECIMIENTO","GRUPO_DEPENDENCIA","PROMEDIO_ESTABLECIMIENTO","LATITUD","LONGITUD"
516,"LA SERENA","LICEO GABRIELA MISTRAL DE LA SERENA","Municipal",547.9,-29.90328,-71.244797
517,"LA SERENA","LICEO GREGORIO CORDOVEZ","Municipal",591.9,-29.90295,-71.243362
518,"LA SERENA","LICEO TECNICO MARTA BRUNET","Municipal",544.9,-29.90633,-71.253967
521,"LA SERENA","COLEGIO VICTOR DOMINGO SILVA","Municipal",540.8,-29.931801,-71.252892
526,"LA SERENA","COLEGIO JOSE MANUEL BALMACEDA","Municipal",612.9,-29.919991,-71.251717
530,"LA SERENA","COLEGIO GABRIEL GONZALEZ VIDELA","Municipal",550.6,-29.89786,-71.25341
531,"LA SERENA","COLEGIO PEDRO AGUIRRE CERDA","Municipal",551.9,-29.91246033,-71.22067261
532,"LA SERENA","CEN.ED.INT.DE ADUL.ESTER VILLARREAL CASTILLO","Municipal",512.5,-29.9090271,-71.24658966
535,"LA SERENA","COLEGIO JOSE MIGUEL CARRERA","Municipal",593.8,-29.942751,-71.263451
565,"LA SERENA","COLEGIO ADVENTISTA LA SERENA","Particular subvencionado",575.9,-29.935129,-71.275391
567,"LA SERENA","COLEGIO SAN FRANCISCO COLL","Particular subvencionado",629.2,-29.87911,-71.245827
568,"LA SERENA","COLEGIO SAN ANTONIO","Particular subvencionado",648.8,-29.904461,-71.249527
570,"LA SERENA","COLEGIO ELENA BETTINI","Particular subvencionado",611.3,-29.90818,-71.253418
573,"LA SERENA","ESCUELA PARTICULAR TERESA VIDELA DE G","Particular subvencionado",632,-29.92444,-71.256927
574,"LA SERENA","ESCUELA INDUSTRIAL SALESIANA SAN RAMON","Particular subvencionado",554.5,-29.90975,-71.252022
575,"LA SERENA","COLEGIO PROVIDENCIA","Particular subvencionado",537.6,-29.902241,-71.240913
