anio,eleccion,tipo_eleccion,nombre_eleccion,codigo_comuna,region_actual,region_historica,comuna,padron
2012,2012-10,Municipal,Municipales,5602,De Valparaíso,De Valparaíso,Algarrobo,10776
2012,2012-10,Municipal,Municipales,13502,Metropolitana de Santiago,Metropolitana de Santiago,Alhué,6676
2012,2012-10,Municipal,Municipales,8314,Del Biobío,Del Biobío,Alto Biobío,4878
2012,2012-10,Municipal,Municipales,1107,De Tarapacá,De Tarapacá,Alto Hospicio,39080
2012,2012-10,Municipal,Municipales,3302,De Atacama,De Atacama,Alto del Carmen,4990
2012,2012-10,Municipal,Municipales,10202,De los Lagos,De los Lagos,Ancud,36301
2012,2012-10,Municipal,Municipales,4103,De Coquimbo,De Coquimbo,Andacollo,11012
2012,2012-10,Municipal,Municipales,9201,De la Araucanía,De la Araucanía,Angol,44164
2012,2012-10,Municipal,Municipales,2101,De Antofagasta,De Antofagasta,Antofagasta,239540
2012,2012-10,Municipal,Municipales,8302,Del Biobío,Del Biobío,Antuco,4363
2012,2012-10,Municipal,Municipales,12202,De Magallanes y de la Antártica Chilena,De Magallanes y de la Antártica Chilena,Antártica,367
2012,2012-10,Municipal,Municipales,8202,Del Biobío,Del Biobío,Arauco,28409
2012,2012-10,Municipal,Municipales,15101,De Arica y Parinacota,De Arica y Parinacota,Arica,155653
2012,2012-10,Municipal,Municipales,11201,De Aysén del General Carlos Ibáñez del Campo,De Aysén del General Carlos Ibáñez del Campo,Aysén,20612
2012,2012-10,Municipal,Municipales,13402,Metropolitana de Santiago,Metropolitana de Santiago,Buin,59078
2012,2012-10,Municipal,Municipales,16102,De Ñuble,Del Biobío,Bulnes,19325
2012,2012-10,Municipal,Municipales,5402,De Valparaíso,De Valparaíso,Cabildo,17181
2012,2012-10,Municipal,Municipales,12201,De Magallanes y de la Antártica Chilena,De Magallanes y de la Antártica Chilena,Cabo de Hornos,1778
2012,2012-10,Municipal,Municipales,8303,Del Biobío,Del Biobío,Cabrero,22528
2012,2012-10,Municipal,Municipales,2201,De Antofagasta,De Antofagasta,Calama,116119
2012,2012-10,Municipal,Municipales,10102,De los Lagos,De los Lagos,Calbuco,29136
2012,2012-10,Municipal,Municipales,3102,De Atacama,De Atacama,Caldera,12618
2012,2012-10,Municipal,Municipales,5502,De Valparaíso,De Valparaíso,Calera,42220
2012,2012-10,Municipal,Municipales,13403,Metropolitana de Santiago,Metropolitana de Santiago,Calera de Tango,18706
2012,2012-10,Municipal,Municipales,5302,De Valparaíso,De Valparaíso,Calle Larga,10057
2012,2012-10,Municipal,Municipales,15102,De Arica y Parinacota,De Arica y Parinacota,Camarones,4839
2012,2012-10,Municipal,Municipales,1402,De Tarapacá,De Tarapacá,Camiña,2963
2012,2012-10,Municipal,Municipales,4202,De Coquimbo,De Coquimbo,Canela,8480
2012,2012-10,Municipal,Municipales,9102,De la Araucanía,De la Araucanía,Carahue,23674
2012,2012-10,Municipal,Municipales,5603,De Valparaíso,De Valparaíso,Cartagena,16330
2012,2012-10,Municipal,Municipales,5102,De Valparaíso,De Valparaíso,Casablanca,19756
2012,2012-10,Municipal,Municipales,10201,De los Lagos,De los Lagos,Castro,35801
2012,2012-10,Municipal,Municipales,5702,De Valparaíso,De Valparaíso,Catemu,11298
2012,2012-10,Municipal,Municipales,7201,Del Maule,Del Maule,Cauquenes,36337
2012,2012-10,Municipal,Municipales,8203,Del Biobío,Del Biobío,Cañete,27123
2012,2012-10,Municipal,Municipales,13102,Metropolitana de Santiago,Metropolitana de Santiago,Cerrillos,66009
2012,2012-10,Municipal,Municipales,13103,Metropolitana de Santiago,Metropolitana de Santiago,Cerro Navia,115602
2012,2012-10,Municipal,Municipales,10401,De los Lagos,De los Lagos,Chaitén,5488
2012,2012-10,Municipal,Municipales,7202,Del Maule,Del Maule,Chanco,9119
2012,2012-10,Municipal,Municipales,3201,De Atacama,De Atacama,Chañaral,11711
2012,2012-10,Municipal,Municipales,8103,Del Biobío,Del Biobío,Chiguayante,59167
2012,2012-10,Municipal,Municipales,11401,De Aysén del General Carlos Ibáñez del Campo,De Aysén del General Carlos Ibáñez del Campo,Chile Chico,6058
2012,2012-10,Municipal,Municipales,16101,De Ñuble,Del Biobío,Chillán,139256
2012,2012-10,Municipal,Municipales,16103,De Ñuble,Del Biobío,Chillán Viejo,17979
2012,2012-10,Municipal,Municipales,6303,Del Libertador General Bernardo O'Higgins,Del Libertador General Bernardo O'Higgins,Chimbarongo,27454
2012,2012-10,Municipal,Municipales,9121,De la Araucanía,De la Araucanía,Cholchol,9218
2012,2012-10,Municipal,Municipales,10203,De los Lagos,De los Lagos,Chonchi,11662
2012,2012-10,Municipal,Municipales,6302,Del Libertador General Bernardo O'Higgins,Del Libertador General Bernardo O'Higgins,Chépica,13042
2012,2012-10,Municipal,Municipales,11202,De Aysén del General Carlos Ibáñez del Campo,De Aysén del General Carlos Ibáñez del Campo,Cisnes,4042
2012,2012-10,Municipal,Municipales,16202,De Ñuble,Del Biobío,Cobquecura,5332
2012,2012-10,Municipal,Municipales,10103,De los Lagos,De los Lagos,Cochamó,4399
2012,2012-10,Municipal,Municipales,11301,De Aysén del General Carlos Ibáñez del Campo,De Aysén del General Carlos Ibáñez del Campo,Cochrane,3045
2012,2012-10,Municipal,Municipales,6102,Del Libertador General Bernardo O'Higgins,Del Libertador General Bernardo O'Higgins,Codegua,10139
2012,2012-10,Municipal,Municipales,16203,De Ñuble,Del Biobío,Coelemu,14609
2012,2012-10,Municipal,Municipales,16302,De Ñuble,Del Biobío,Coihueco,19881
2012,2012-10,Municipal,Municipales,6103,Del Libertador General Bernardo O'Higgins,Del Libertador General Bernardo O'Higgins,Coinco,6457
2012,2012-10,Municipal,Municipales,7402,Del Maule,Del Maule,Colbún,16029
2012,2012-10,Municipal,Municipales,1403,De Tarapacá,De Tarapacá,Colchane,2841
2012,2012-10,Municipal,Municipales,13301,Metropolitana de Santiago,Metropolitana de Santiago,Colina,66403
2012,2012-10,Municipal,Municipales,9202,De la Araucanía,De la Araucanía,Collipulli,20860
2012,2012-10,Municipal,Municipales,6104,Del Libertador General Bernardo O'Higgins,Del Libertador General Bernardo O'Higgins,Coltauco,14097
2012,2012-10,Municipal,Municipales,4302,De Coquimbo,De Coquimbo,Combarbalá,12043
2012,2012-10,Municipal,Municipales,8101,Del Biobío,Del Biobío,Concepción,196876
2012,2012-10,Municipal,Municipales,13104,Metropolitana de Santiago,Metropolitana de Santiago,Conchalí,119810
2012,2012-10,Municipal,Municipales,5103,De Valparaíso,De Valparaíso,Concón,30629
2012,2012-10,Municipal,Municipales,7102,Del Maule,Del Maule,Constitución,37020
2012,2012-10,Municipal,Municipales,8204,Del Biobío,Del Biobío,Contulmo,5645
2012,2012-10,Municipal,Municipales,3101,De Atacama,De Atacama,Copiapó,108673
2012,2012-10,Municipal,Municipales,4102,De Coquimbo,De Coquimbo,Coquimbo,138863
2012,2012-10,Municipal,Municipales,8102,Del Biobío,Del Biobío,Coronel,81026
2012,2012-10,Municipal,Municipales,14102,De los Ríos,De los Ríos,Corral,5248
2012,2012-10,Municipal,Municipales,11101,De Aysén del General Carlos Ibáñez del Campo,De Aysén del General Carlos Ibáñez del Campo,Coyhaique,49891
2012,2012-10,Municipal,Municipales,9103,De la Araucanía,De la Araucanía,Cunco,18872
2012,2012-10,Municipal,Municipales,9203,De la Araucanía,De la Araucanía,Curacautín,20382
2012,2012-10,Municipal,Municipales,13503,Metropolitana de Santiago,Metropolitana de Santiago,Curacaví,21969
2012,2012-10,Municipal,Municipales,10204,De los Lagos,De los Lagos,Curaco de Vélez,3376
2012,2012-10,Municipal,Municipales,8205,Del Biobío,Del Biobío,Curanilahue,29217
2012,2012-10,Municipal,Municipales,9104,De la Araucanía,De la Araucanía,Curarrehue,7656
2012,2012-10,Municipal,Municipales,7103,Del Maule,Del Maule,Curepto,10141
2012,2012-10,Municipal,Municipales,7301,Del Maule,Del Maule,Curicó,104530
2012,2012-10,Municipal,Municipales,10205,De los Lagos,De los Lagos,Dalcahue,10629
2012,2012-10,Municipal,Municipales,3202,De Atacama,De Atacama,Diego de Almagro,14689
2012,2012-10,Municipal,Municipales,6105,Del Libertador General Bernardo O'Higgins,Del Libertador General Bernardo O'Higgins,Doñihue,16667
2012,2012-10,Municipal,Municipales,13105,Metropolitana de Santiago,Metropolitana de Santiago,El Bosque,135613
2012,2012-10,Municipal,Municipales,16104,De Ñuble,Del Biobío,El Carmen,11877
2012,2012-10,Municipal,Municipales,13602,Metropolitana de Santiago,Metropolitana de Santiago,El Monte,24294
2012,2012-10,Municipal,Municipales,5604,De Valparaíso,De Valparaíso,El Quisco,10283
2012,2012-10,Municipal,Municipales,5605,De Valparaíso,De Valparaíso,El Tabo,8526
2012,2012-10,Municipal,Municipales,7104,Del Maule,Del Maule,Empedrado,4280
2012,2012-10,Municipal,Municipales,9204,De la Araucanía,De la Araucanía,Ercilla,7728
2012,2012-10,Municipal,Municipales,13106,Metropolitana de Santiago,Metropolitana de Santiago,Estación Central,128650
2012,2012-10,Municipal,Municipales,8104,Del Biobío,Del Biobío,Florida,10250
2012,2012-10,Municipal,Municipales,9105,De la Araucanía,De la Araucanía,Freire,21537
2012,2012-10,Municipal,Municipales,3303,De Atacama,De Atacama,Freirina,5394
2012,2012-10,Municipal,Municipales,10104,De los Lagos,De los Lagos,Fresia,11708
2012,2012-10,Municipal,Municipales,10105,De los Lagos,De los Lagos,Frutillar,13715
2012,2012-10,Municipal,Municipales,10402,De los Lagos,De los Lagos,Futaleufú,3397
2012,2012-10,Municipal,Municipales,14202,De los Ríos,De los Ríos,Futrono,13176
2012,2012-10,Municipal,Municipales,9106,De la Araucanía,De la Araucanía,Galvarino,11494
2012,2012-10,Municipal,Municipales,15202,De Arica y Parinacota,De Arica y Parinacota,General Lagos,3001
2012,2012-10,Municipal,Municipales,9107,De la Araucanía,De la Araucanía,Gorbea,15171
2012,2012-10,Municipal,Municipales,6106,Del Libertador General Bernardo O'Higgins,Del Libertador General Bernardo O'Higgins,Graneros,24108
2012,2012-10,Municipal,Municipales,11203,De Aysén del General Carlos Ibáñez del Campo,De Aysén del General Carlos Ibáñez del Campo,Guaitecas,1455
2012,2012-10,Municipal,Municipales,5503,De Valparaíso,De Valparaíso,Hijuelas,14109
2012,2012-10,Municipal,Municipales,10403,De los Lagos,De los Lagos,Hualaihué,8005
2012,2012-10,Municipal,Municipales,7302,Del Maule,Del Maule,Hualañé,8877
2012,2012-10,Municipal,Municipales,8112,Del Biobío,Del Biobío,Hualpén,73497
2012,2012-10,Municipal,Municipales,8105,Del Biobío,Del Biobío,Hualqui,18204
2012,2012-10,Municipal,Municipales,1404,De Tarapacá,De Tarapacá,Huara,9866
2012,2012-10,Municipal,Municipales,3304,De Atacama,De Atacama,Huasco,7574
2012,2012-10,Municipal,Municipales,13107,Metropolitana de Santiago,Metropolitana de Santiago,Huechuraba,60752
2012,2012-10,Municipal,Municipales,4201,De Coquimbo,De Coquimbo,Illapel,25861
2012,2012-10,Municipal,Municipales,13108,Metropolitana de Santiago,Metropolitana de Santiago,Independencia,75749
2012,2012-10,Municipal,Municipales,1101,De Tarapacá,De Tarapacá,Iquique,147085
2012,2012-10,Municipal,Municipales,13603,Metropolitana de Santiago,Metropolitana de Santiago,Isla de Maipo,23249
2012,2012-10,Municipal,Municipales,5201,De Valparaíso,De Valparaíso,Isla de Pascua,4668
2012,2012-10,Municipal,Municipales,5104,De Valparaíso,De Valparaíso,Juan Fernández,841
2012,2012-10,Municipal,Municipales,13109,Metropolitana de Santiago,Metropolitana de Santiago,La Cisterna,83133
2012,2012-10,Municipal,Municipales,5504,De Valparaíso,De Valparaíso,La Cruz,12008
2012,2012-10,Municipal,Municipales,6202,Del Libertador General Bernardo O'Higgins,Del Libertador General Bernardo O'Higgins,La Estrella,3264
2012,2012-10,Municipal,Municipales,13110,Metropolitana de Santiago,Metropolitana de Santiago,La Florida,285274
2012,2012-10,Municipal,Municipales,13111,Metropolitana de Santiago,Metropolitana de Santiago,La Granja,102932
2012,2012-10,Municipal,Municipales,4104,De Coquimbo,De Coquimbo,La Higuera,4171
2012,2012-10,Municipal,Municipales,5401,De Valparaíso,De Valparaíso,La Ligua,27543
2012,2012-10,Municipal,Municipales,13112,Metropolitana de Santiago,Metropolitana de Santiago,La Pintana,127086
2012,2012-10,Municipal,Municipales,13113,Metropolitana de Santiago,Metropolitana de Santiago,La Reina,86906
2012,2012-10,Municipal,Municipales,4101,De Coquimbo,De Coquimbo,La Serena,143627
2012,2012-10,Municipal,Municipales,14201,De los Ríos,De los Ríos,La Unión,34248
2012,2012-10,Municipal,Municipales,14203,De los Ríos,De los Ríos,Lago Ranco,8846
2012,2012-10,Municipal,Municipales,11102,De Aysén del General Carlos Ibáñez del Campo,De Aysén del General Carlos Ibáñez del Campo,Lago Verde,1100
2012,2012-10,Municipal,Municipales,12102,De Magallanes y de la Antártica Chilena,De Magallanes y de la Antártica Chilena,Laguna Blanca,1204
2012,2012-10,Municipal,Municipales,8304,Del Biobío,Del Biobío,Laja,20586
2012,2012-10,Municipal,Municipales,13302,Metropolitana de Santiago,Metropolitana de Santiago,Lampa,40612
2012,2012-10,Municipal,Municipales,14103,De los Ríos,De los Ríos,Lanco,15040
2012,2012-10,Municipal,Municipales,6107,Del Libertador General Bernardo O'Higgins,Del Libertador General Bernardo O'Higgins,Las Cabras,18120
2012,2012-10,Municipal,Municipales,13114,Metropolitana de Santiago,Metropolitana de Santiago,Las Condes,231725
2012,2012-10,Municipal,Municipales,9108,De la Araucanía,De la Araucanía,Lautaro,30507
2012,2012-10,Municipal,Municipales,8201,Del Biobío,Del Biobío,Lebu,20959
2012,2012-10,Municipal,Municipales,7303,Del Maule,Del Maule,Licantén,6693
2012,2012-10,Municipal,Municipales,5802,De Valparaíso,De Valparaíso,Limache,34528
2012,2012-10,Municipal,Municipales,7401,Del Maule,Del Maule,Linares,74762
2012,2012-10,Municipal,Municipales,6203,Del Libertador General Bernardo O'Higgins,Del Libertador General Bernardo O'Higgins,Litueche,5513
2012,2012-10,Municipal,Municipales,10107,De los Lagos,De los Lagos,Llanquihue,14347
2012,2012-10,Municipal,Municipales,5703,De Valparaíso,De Valparaíso,Llay-Llay,19494
2012,2012-10,Municipal,Municipales,13115,Metropolitana de Santiago,Metropolitana de Santiago,Lo Barnechea,61766
2012,2012-10,Municipal,Municipales,13116,Metropolitana de Santiago,Metropolitana de Santiago,Lo Espejo,93196
2012,2012-10,Municipal,Municipales,13117,Metropolitana de Santiago,Metropolitana de Santiago,Lo Prado,88761
